FIPS,County,Province,Country,Update,Lat,Long,Confirmed,Deaths,Recovered,Active,Admin
,,Alberta,Canada,,53.9333,-116.5765,39,,,,Admin2
,,Australian Capital Territory,Australia,,-35.4735,149.0124,1,0,0,,Admin2
,,British Columbia,Canada,,53.7267,-127.6476,73,1,4,,Admin2
,,Channel Islands,United Kingdom,,49.372284,-2.364351,3,,,,Admin2
,,Curacao,Netherlands,,12.1696,-68.99,1,,,,Admin2
,,Denmark,Denmark,,56.2639,9.5018,864,2,1,,Admin2
,,Diamond Princess,Cruise Ship,,35.4498,139.6649,696,7,325,,Admin2
,,Faroe Islands,Denmark,,61.8926,-6.9118,11,,,,Admin2
,,France,France,,46.2276,2.2137,4499,91,12,,Admin2
,,French Guiana,France,,3.9339,-53.1258,7,,,,Admin2
,,French Polynesia,France,,-17.6797,-149.4068,3,,,,Admin2
,,From Diamond Princess,Australia,,35.4437,139.638,,,,,Admin2
,,Gansu,China,,36.0611,103.8343,,,,,Admin2
,,Gibraltar,United Kingdom,,36.1408,-5.3536,1,,1,,Admin2
,,Grand Princess,Canada,,37.64894,-122.665479,2,,,,Admin2
,,Hebei,China,,38.0428,114.5149,,,,,Admin2
,,Manitoba,Canada,,53.7609,-98.8139,4,,,,Admin2
,,Mayotte,France,,-12.8275,45.1662,1,,,,Admin2
,,Netherlands,Netherlands,,52.1326,5.2913,1135,20,2,,Admin2
,,New Brunswick,Canada,,46.5653,-66.4619,2,,,,Admin2
,,New South Wales,Australia,,-33.8688,151.2093,134,2,4,,Admin2
,,Newfoundland and Labrador,Canada,,53.1355,-57.6604,1,,,,Admin2
,,Northern Territory,Australia,,-12.4634,130.8456,1,0,0,,Admin2
,,Ontario,Canada,,51.2538,-85.3232,104,,4,,Admin2
,,Prince Edward Island,Canada,,46.5107,-63.4168,1,,,,Admin2
,,Quebec,Canada,,52.9399,-73.5491,24,,,,Admin2
,,Queensland,Australia,,-28.0167,153.4,61,0,8,,Admin2
,,Saint Barthelemy,France,,17.9,-62.8333,1,,,,Admin2
,,Saskatchewan,Canada,,52.9399,-106.4509,2,,,,Admin2
,,South Australia,Australia,,-34.9285,138.6007,20,0,3,,Admin2
,,St Martin,France,,18.0708,-63.0501,2,,,,Admin2
,,Tasmania,Australia,,-41.4545,145.9707,6,0,0,,Admin2
,,United Kingdom,United Kingdom,,55.3781,-3.436,1140,21,18,,Admin2
,,Victoria,Australia,,-37.8136,144.9631,57,0,8,,Admin2
,,Western Australia,Australia,,-31.9505,115.8605,17,1,0,,Admin2
